Day,Temperature,Humidity,Rainfall,Soil Moisture,Disease,Disease Severity (%)
201,26.79,29.43,0,27.32,Tomato___Septoria_leaf_spot,55.17
8,28.84,74.39,15.14,34.69,Tomato___healthy,0
289,26.4,98.6,10.23,32.47,Tomato___Target_Spot,77.78
25,22.28,46.52,9.93,32.74,Tomato___healthy,0
83,32.39,52.29,15.32,34.42,Tomato___Early_blight,23.09
62,24.07,70.29,0,27.59,Tomato___Bacterial_spot,19.91
77,25.44,28.99,17.56,36.24,Tomato___Early_blight,14.68
257,31.33,88.23,2.79,28.26,Tomato___Spider_mites Two-spotted_spider_mite,68.61
190,17.43,53.82,0,28.26,Tomato___Septoria_leaf_spot,53.44
27,19.25,40.2,0,28.08,Tomato___healthy,0
177,25.07,67.95,11.45,33.22,Tomato___Leaf_Mold,45.45
97,26.48,49.5,0.8,27.75,Tomato___Early_blight,37.56
96,17.68,60.53,0,28.23,Tomato___Early_blight,22.59
102,22.9,71.36,0,27.71,Tomato___Early_blight,20.72
67,24.64,55.96,5.28,30.18,Tomato___Bacterial_spot,14.31
272,17.82,61.1,0,28.22,Tomato___Target_Spot,73.18
56,29.66,86.33,9.59,31.83,Tomato___Bacterial_spot,27.09
15,16.38,47.4,6.87,31.8,Tomato___healthy,0
123,32.01,85.31,19.21,36.4,Tomato___Late_blight,25.57
52,23.07,61.74,11.11,33.25,Tomato___Bacterial_spot,18.32
182,20.71,56.95,20.77,38.32,Tomato___Leaf_Mold,46.68
169,23.77,50.22,8.69,31.97,Tomato___Leaf_Mold,57.08
26,25.55,67.38,6.85,30.87,Tomato___healthy,0
267,33.16,57.63,0,26.68,Tomato___Target_Spot,72.16
217,21.14,69.49,4.54,30.16,Tomato___Septoria_leaf_spot,61.14
133,19.69,46.87,0,28.03,Tomato___Late_blight,37.76
359,26.61,62.56,4.28,29.48,Tomato___Tomato_mosaic_virus,100
354,24.2,59.15,9.3,32.23,Tomato___Tomato_mosaic_virus,93.49
91,25.49,58.39,27.99,41.45,Tomato___Early_blight,13.89
263,8.79,60.84,0,29.12,Tomato___Target_Spot,74.21
178,32.27,81.62,26.63,40.09,Tomato___Leaf_Mold,51.34
349,21.41,59.44,1.51,28.62,Tomato___Tomato_mosaic_virus,94.09
59,26.66,69.68,9.3,31.98,Tomato___Bacterial_spot,21.14
232,26.08,45.32,12.09,33.44,Tomato___Spider_mites Two-spotted_spider_mite,63.26
271,32.21,72.35,5.6,29.58,Tomato___Target_Spot,80.07
40,25.98,69.34,0,27.4,Tomato___Bacterial_spot,15.67
179,23.68,22.93,1.92,28.59,Tomato___Leaf_Mold,56.91
335,29.88,52.16,0,27.01,Tomato___Tomato_mosaic_virus,92.43
16,22.19,51.01,0,27.78,Tomato___healthy,0
92,29.84,44.47,1.37,27.7,Tomato___Early_blight,21.74
299,29.06,49.31,2.43,28.31,Tomato___Tomato_Yellow_Leaf_Curl_Virus,82.56
131,17.25,44.44,20.48,38.51,Tomato___Late_blight,28.95
338,23.39,38.87,8.47,31.89,Tomato___Tomato_mosaic_virus,98.33
2,24.31,60.19,0,27.57,Tomato___healthy,0
275,20.09,54.96,13.95,34.97,Tomato___Target_Spot,73.38
322,27.98,54.38,7.61,31.01,Tomato___Tomato_Yellow_Leaf_Curl_Virus,98.73
362,32.66,65.21,5.52,29.49,Tomato___Tomato_mosaic_virus,97.08
65,29.06,42.25,4.6,29.4,Tomato___Bacterial_spot,11.8
114,37.32,76.79,9.92,31.23,Tomato___Late_blight,27.19
255,17.4,48.14,20.03,38.28,Tomato___Spider_mites Two-spotted_spider_mite,63.03
17,19.94,28.14,0,28.01,Tomato___healthy,0
220,25.41,63.72,8.52,31.72,Tomato___Septoria_leaf_spot,60.67
304,28.05,76.37,20.74,37.56,Tomato___Tomato_Yellow_Leaf_Curl_Virus,89
167,29.11,59.01,17.07,35.62,Tomato___Leaf_Mold,44.74
242,24.43,41.33,0,27.56,Tomato___Spider_mites Two-spotted_spider_mite,65.15
43,24.42,61.8,11.22,33.17,Tomato___Bacterial_spot,10.81
125,27.93,59.88,0,27.21,Tomato___Late_blight,38.68
28,26.88,87.47,12,33.31,Tomato___healthy,0
98,26.31,63.21,2.18,28.46,Tomato___Early_blight,31.48
252,29.59,70.89,4.52,29.3,Tomato___Spider_mites Two-spotted_spider_mite,75.72
279,25.35,56.31,18.17,36.55,Tomato___Target_Spot,77.02
164,20.9,46.44,11.49,33.65,Tomato___Leaf_Mold,43.73
247,22.63,64.2,0,27.74,Tomato___Spider_mites Two-spotted_spider_mite,67.35
187,27.37,77.52,0.54,27.53,Tomato___Septoria_leaf_spot,47.11
175,26.38,72.54,0,27.36,Tomato___Leaf_Mold,55.87
265,23.74,34.61,22.98,39.11,Tomato___Target_Spot,62.45
207,27.58,64.9,7.44,30.96,Tomato___Septoria_leaf_spot,51.92
68,30.02,70.76,5.3,29.65,Tomato___Bacterial_spot,18.04
194,18.77,53.69,0,28.12,Tomato___Septoria_leaf_spot,59.02
33,24.93,58.28,16.49,35.75,Tomato___healthy,0
160,28.28,32.93,10.07,32.21,Tomato___Leaf_Mold,37.62
196,26.93,91.13,8.77,31.69,Tomato___Septoria_leaf_spot,61.79
292,22.53,59.64,26.42,40.96,Tomato___Target_Spot,82.43
85,20.96,59.06,7.67,31.74,Tomato___Early_blight,23.09
89,22.35,52.05,0,27.76,Tomato___Early_blight,19.87
259,27.22,83.9,7.08,30.82,Tomato___Target_Spot,69.75
228,19.61,65,9.48,32.78,Tomato___Spider_mites Two-spotted_spider_mite,56.67
329,28.12,68.9,12.72,33.55,Tomato___Tomato_Yellow_Leaf_Curl_Virus,86.1
168,34.48,41.83,0,26.55,Tomato___Leaf_Mold,50.57
324,35.46,66.66,0,26.45,Tomato___Tomato_Yellow_Leaf_Curl_Virus,92.2
87,29.58,45.21,5.82,29.95,Tomato___Early_blight,16.36
193,26.07,65.92,16.95,35.87,Tomato___Septoria_leaf_spot,54.47
180,38.6,48.05,7.19,29.74,Tomato___Leaf_Mold,47.15
311,23.91,43.34,15.79,35.5,Tomato___Tomato_Yellow_Leaf_Curl_Virus,93.49
134,27.37,39.26,1.12,27.82,Tomato___Late_blight,28.47
339,27.06,36.65,4.53,29.56,Tomato___Tomato_mosaic_virus,89.32
37,26.04,60.08,0,27.4,Tomato___healthy,0
157,34.33,50.06,10.91,32.02,Tomato___Leaf_Mold,44.13
185,23.88,61.3,11.08,33.15,Tomato___Septoria_leaf_spot,44.29
314,29.07,79.07,13.84,34.01,Tomato___Tomato_Yellow_Leaf_Curl_Virus,93.11
358,23.56,71.15,3.04,29.16,Tomato___Tomato_mosaic_virus,100
127,20.05,61.16,0,28,Tomato___Late_blight,33.4
142,31.54,47.04,0,26.85,Tomato___Late_blight,39.24
7,32.9,81.77,21.65,37.54,Tomato___healthy,0
21,32.33,65.13,0,26.77,Tomato___healthy,0
212,30.68,71.56,4.01,28.94,Tomato___Septoria_leaf_spot,52.35
250,27.02,61.94,9.25,31.92,Tomato___Spider_mites Two-spotted_spider_mite,68.09
155,26.47,34.96,10.84,32.77,Tomato___Leaf_Mold,48.43
317,28.41,52.13,19.77,37.04,Tomato___Tomato_Yellow_Leaf_Curl_Virus,91.77
214,28.26,77.16,0,27.17,Tomato___Septoria_leaf_spot,64.42
73,24.82,34.45,0.66,27.85,Tomato___Bacterial_spot,21.99
328,28.96,69.24,1.29,27.75,Tomato___Tomato_Yellow_Leaf_Curl_Virus,89.75
333,25.38,73.86,1.38,28.15,Tomato___Tomato_mosaic_virus,91.64
240,29.26,88.15,0,27.07,Tomato___Spider_mites Two-spotted_spider_mite,62.14
80,15.06,70.05,0.6,28.8,Tomato___Early_blight,20.16
195,25.87,64.35,0,27.41,Tomato___Septoria_leaf_spot,47.1
254,30.16,63.36,0,26.98,Tomato___Spider_mites Two-spotted_spider_mite,69.37
262,24.7,58.11,0,27.53,Tomato___Target_Spot,71.15
347,17.76,51.83,20.01,38.23,Tomato___Tomato_mosaic_virus,100
296,21.54,51.8,6.2,30.95,Tomato___Tomato_Yellow_Leaf_Curl_Virus,78.09
106,27.02,25.47,0,27.3,Tomato___Early_blight,35.69
251,18.7,61.64,0,28.13,Tomato___Spider_mites Two-spotted_spider_mite,72.58
181,28.13,68.66,7.49,30.93,Tomato___Leaf_Mold,48.3
36,18.9,51.01,22.71,39.46,Tomato___healthy,0
239,21.69,66.2,6.28,30.97,Tomato___Spider_mites Two-spotted_spider_mite,66.81
84,22.41,44.11,0,27.76,Tomato___Early_blight,21.87
31,21.99,34.3,30.6,43.1,Tomato___healthy,0
166,27.06,35.08,6.47,30.53,Tomato___Leaf_Mold,45.42
316,25.11,43.06,0,27.49,Tomato___Tomato_Yellow_Leaf_Curl_Virus,82.96
246,23.33,59.17,0,27.67,Tomato___Spider_mites Two-spotted_spider_mite,67.26
41,28.69,43.99,11.32,32.79,Tomato___Bacterial_spot,0
326,18.93,77.39,16.73,36.47,Tomato___Tomato_Yellow_Leaf_Curl_Virus,95.55
364,27.01,48.33,4.19,29.4,Tomato___Tomato_mosaic_virus,94.23
270,25.65,35.18,14.25,34.56,Tomato___Target_Spot,81.35
253,35.61,67.22,4.96,28.92,Tomato___Spider_mites Two-spotted_spider_mite,71.83
307,31.39,54.86,7.24,30.48,Tomato___Tomato_Yellow_Leaf_Curl_Virus,79.17
163,30.79,63.9,18.82,36.33,Tomato___Leaf_Mold,46.45
356,19.99,34.35,7.39,31.7,Tomato___Tomato_mosaic_virus,97.55
350,23.93,76.55,1.51,28.36,Tomato___Tomato_mosaic_virus,100
210,44.26,26.83,13.72,32.44,Tomato___Septoria_leaf_spot,62.72
199,25.29,78.02,0,27.47,Tomato___Septoria_leaf_spot,53.97
284,18.81,70.44,6.98,31.61,Tomato___Target_Spot,82.28
301,20.86,56.18,8.99,32.41,Tomato___Tomato_Yellow_Leaf_Curl_Virus,85.09
5,23.83,60.37,7.56,31.4,Tomato___healthy,0
74,32.82,59.17,1.91,27.67,Tomato___Bacterial_spot,18.78
351,26.55,61.71,1.78,28.24,Tomato___Tomato_mosaic_virus,98.67
342,26.22,86.32,0,27.38,Tomato___Tomato_mosaic_virus,99.35
165,29.82,69.58,3.33,28.68,Tomato___Leaf_Mold,44.28
64,19.02,33.62,15.53,35.86,Tomato___Bacterial_spot,25.43
93,21.49,51.7,0.54,28.12,Tomato___Early_blight,18.59
197,20.58,73.07,20.66,38.27,Tomato___Septoria_leaf_spot,55.79
274,25.05,40.57,8.93,31.96,Tomato___Target_Spot,75.54
46,21.4,43.13,2.52,29.12,Tomato___Bacterial_spot,15.39
35,29.11,36.08,4.65,29.41,Tomato___healthy,0
170,21.23,60.71,1.07,28.41,Tomato___Leaf_Mold,43.51
245,19,69.82,0.48,28.34,Tomato___Spider_mites Two-spotted_spider_mite,62.36
51,26.62,83.27,8.8,31.74,Tomato___Bacterial_spot,14.79
348,17.96,65.99,13.5,34.95,Tomato___Tomato_mosaic_virus,93.46
81,23.9,65.5,19.47,37.34,Tomato___Early_blight,28.8
215,23.42,65.08,0,27.66,Tomato___Septoria_leaf_spot,59.34
226,30.44,52.84,9.57,31.74,Tomato___Spider_mites Two-spotted_spider_mite,52.46
300,28.15,61.6,0,27.19,Tomato___Tomato_Yellow_Leaf_Curl_Virus,81.84
107,34.43,37.27,14.84,33.98,Tomato___Early_blight,31.86
306,25.59,28.9,0,27.44,Tomato___Tomato_Yellow_Leaf_Curl_Virus,83.43
331,24.94,64.89,16.49,35.75,Tomato___Tomato_mosaic_virus,87.02
138,23.39,68.44,25.1,40.21,Tomato___Late_blight,38.65
61,22.6,45.53,7.72,31.6,Tomato___Bacterial_spot,22.37
69,26.81,82.54,14.38,34.51,Tomato___Bacterial_spot,20.27
309,27.74,38.89,21.84,38.15,Tomato___Tomato_Yellow_Leaf_Curl_Virus,79.96
294,29.25,57.83,9.36,31.76,Tomato___Tomato_Yellow_Leaf_Curl_Virus,77.39
137,21.08,39.02,11.59,33.68,Tomato___Late_blight,40.02
103,23.29,52.04,4.65,30,Tomato___Early_blight,19.72
287,24.24,55.97,1.8,28.47,Tomato___Target_Spot,83.03
124,17.99,73.22,0,28.2,Tomato___Late_blight,28.75
78,23.5,58.66,0,27.65,Tomato___Early_blight,24.08
208,27.57,56.71,0,27.24,Tomato___Septoria_leaf_spot,53.03
241,21.04,48.39,13.41,34.6,Tomato___Spider_mites Two-spotted_spider_mite,70.71
143,16.96,60.73,4.67,30.64,Tomato___Late_blight,41.62
218,23.82,94.06,7.43,31.34,Tomato___Septoria_leaf_spot,60.41
148,18.4,46.39,16.88,36.6,Tomato___Leaf_Mold,33.26
264,19.88,76.41,2.19,29.11,Tomato___Target_Spot,72.38
198,25.77,55.11,4.34,29.59,Tomato___Septoria_leaf_spot,50.45
145,26.3,64.06,0,27.37,Tomato___Late_blight,39.66
161,20.13,35.59,15.67,35.82,Tomato___Leaf_Mold,45.38
45,17.61,70.67,0,28.24,Tomato___Bacterial_spot,6.86
321,25.48,56.4,9.94,32.42,Tomato___Tomato_Yellow_Leaf_Curl_Virus,85.23
355,24.9,64.62,15.3,35.16,Tomato___Tomato_mosaic_virus,100
343,26.22,28.77,14.96,34.86,Tomato___Tomato_mosaic_virus,97.29
47,22.7,36.99,4.26,29.86,Tomato___Bacterial_spot,7.34
303,28.74,20.24,0.17,27.21,Tomato___Tomato_Yellow_Leaf_Curl_Virus,77.87
116,26.51,45.67,29.55,42.13,Tomato___Late_blight,23.04
286,15.24,76.9,0.16,28.56,Tomato___Target_Spot,65.31
146,28.91,59.25,7.24,30.73,Tomato___Late_blight,36.22
225,22.64,61.07,8.43,31.95,Tomato___Spider_mites Two-spotted_spider_mite,54.71
361,27.6,60.28,12.28,33.38,Tomato___Tomato_mosaic_virus,100
183,19.65,65.57,4.05,30.06,Tomato___Leaf_Mold,44.79
94,23.36,42.03,19.53,37.43,Tomato___Early_blight,33.69
173,24.61,75.09,6.91,30.99,Tomato___Leaf_Mold,60.02
176,29.14,43.05,12.46,33.32,Tomato___Leaf_Mold,56.33
320,24.35,70.69,8.96,32.04,Tomato___Tomato_Yellow_Leaf_Curl_Virus,90.79
192,29.28,53.51,0,27.07,Tomato___Septoria_leaf_spot,42.36
100,23.83,56.69,0,27.62,Tomato___Early_blight,14.63
248,21.73,43.12,12.6,34.13,Tomato___Spider_mites Two-spotted_spider_mite,73.1
117,24.83,35.9,0,27.52,Tomato___Late_blight,31.29
273,30.82,40.65,11.98,32.91,Tomato___Target_Spot,81.97
58,23.45,74.57,0,27.65,Tomato___Bacterial_spot,16.62
318,23.45,67.34,18.8,37.06,Tomato___Tomato_Yellow_Leaf_Curl_Virus,83.82
76,29.11,59.51,0.21,27.2,Tomato___Early_blight,26.5
109,26.29,84.67,4.51,29.62,Tomato___Early_blight,33.86
152,26.73,45.34,15.44,35.05,Tomato___Leaf_Mold,37.78
340,22.18,69.09,9.77,32.67,Tomato___Tomato_mosaic_virus,87.64
332,20.51,41.23,0,27.95,Tomato___Tomato_mosaic_virus,100
110,24.63,56.26,11.75,33.41,Tomato___Early_blight,33.66
63,19.47,75.88,0,28.05,Tomato___Bacterial_spot,11.27
49,26.72,64.98,6.78,30.72,Tomato___Bacterial_spot,22.72
249,33.83,96.69,12.86,33.05,Tomato___Spider_mites Two-spotted_spider_mite,70.32
60,29.88,80.53,7.08,30.55,Tomato___Bacterial_spot,21.69
336,24.26,75.74,16.61,35.88,Tomato___Tomato_mosaic_virus,85.05
159,19.04,48.55,13.2,34.7,Tomato___Leaf_Mold,54.01
147,18.82,56.42,4.84,30.54,Tomato___Late_blight,36.69
82,26.79,45.9,6.97,30.8,Tomato___Early_blight,21.44
